title,artist,genre,tempo,mood_tags
"Jivan Ko Kahani","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Maya","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Suseli","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Geet","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Ma","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Kiran","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Prem Ko","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Hawa Ma","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Geet","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Dhoon","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Geet","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Phool","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Duri Ko","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Geet","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhera Ko","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Aanshu Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Sapna Ko","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko Geet","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Dhadkan Ko","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko Geet","Arun Thapa","Pop",100,"Romantic,Sad"
"Zha Zhal Ko","Rajan Raj Shiwakoti","Folk",110,"Happy,Celebratory"
"Jindagima Jitai Chhaina","Melina Rai","Pop",100,"Sad,Introspective"
"Mitho Mitho","Anju Panta","Pop",115,"Romantic,Happy"
"Surke Thaili Khai","Rajan Raj Shiwakoti, Anju Panta","Pop",120,"Happy,Uplifting"
"Paan Ko Pat","Bishnu Majhi","Folk",105,"Happy,Traditional"
"Ma Prem Ma","Swoopna Suman","Pop",110,"Romantic,Happy"
"Dhunge Bagara Maya","Khem Century","Folk",115,"Romantic,Nostalgic"
"Parelima Lukai Rakhana","Pramod Kharel","Pop",100,"Romantic,Sad"
"Sasurali Ma","Tanka Budathoki","Pop",115,"Happy,Romantic"
"Saathi","Yama Buddha","Rap",95,"Energetic,Rebellious"
"Chot Ke Ho Byatha Ke Ho","Arun Thapa","Pop",90,"Sad,Melancholic"
"Jati Maya Laae Pani","Arun Thapa","Pop",95,"Romantic,Sad"
"Saanjh Ko Joon Sangai","Arun Thapa","Pop",100,"Romantic,Calm"
"Bhulun Bhulun Lagyo Malai","Arun Thapa","Pop",95,"Sad,Melancholic"
"Ma Roe Pani","Arun Thapa","Pop",90,"Sad,Introspective"
"Pohor Saal","Aruna Lama","Classical",85,"Sad,Nostalgic"
"Eh Kaanchha Malai Soon Ko Tara","Aruna Lama","Classical",90,"Romantic,Calm"
"Yeti Dherai","Aruna Lama","Classical",80,"Sad,Melancholic"
"Eklai Basda","Aruna Lama","Classical",85,"Sad,Introspective"
"Bhettinu Chuttinu","Aruna Lama","Classical",90,"Romantic,Sad"
"Banai Khayo Dandhelo Le","Phatteman Rajbhandari","Classical",95,"Sad,Melancholic"
"Esto Pani Hundo Raichha","Phatteman Rajbhandari","Classical",90,"Sad,Introspective"
"Sannani Ko Gaalai Ma","Phatteman Rajbhandari","Classical",85,"Romantic,Calm"
"Raktim","Phatteman Rajbhandari","Classical",80,"Sad,Melancholic"
"Euta Manchhe Ko","Narayan Gopal","Classical",90,"Sad,Introspective"
"Yeti Dherai Maya Dii","Narayan Gopal","Classical",85,"Romantic,Sad"
"Gaajalu Ti Thula Thula Aakha","Ghulam Ali","Classical",90,"Romantic,Sad"
"Kina Kina Timro Tasbir","Ghulam Ali","Classical",85,"Sad,Melancholic"
"Ke Chha Ra Diu","Ghulam Ali","Classical",80,"Sad,Introspective"
"Ama Lai Shraddhanjali","Navneet Aditya Waiba","Folk",110,"Nostalgic,Traditional"
"Timro Mann Ma","Sushant KC","Pop",120,"Happy,Romantic"
"Dil Ko Safar","Sajjan Raj Vaidya","Indie",90,"Romantic,Introspective"
"Man Ko Sapana","Yabesh Thapa","Indie",85,"Sad,Romantic"
"Timro Hridaya Ko","Oasis Thapa","Indie",95,"Romantic,Calm"
"Geet Ko Maya","Samir Shrestha","Pop",110,"Happy,Romantic"
"Maya Ko Lahar","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Timro Chhaya Ko","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Dil Ko Geet","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Timilai Maya Ko","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Baat","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Gaun Ko Maya","Khem Century","Folk",105,"Nostalgic,Happy"
"Saanjha Ko Geet","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Muskan Ko Maya","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Geet","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Maya","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ko Geet","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Kahani Ma","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Dhoon","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Safar Ma","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Geet","Karma Band","Rock",130,"Energetic,Romantic"
"Timro Lagi Mero Maya","Anju Panta","Pop",115,"Romantic,Happy"
"Tihar Aayo","Sugam Pokhrel","Folk",110,"Happy,Celebratory"
"Dil Ko Bato","VTEN","Rap",100,"Energetic,Rebellious"
"Man Ko Kotha","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Pahilo Prem Ma","Yabesh Thapa","Indie",85,"Romantic,Calm"
"Timro Muskan Le","Sushant KC","Pop",120,"Happy,Romantic"
"Gaun Ko Chhoro","Khem Century","Folk",105,"Nostalgic,Happy"
"Maya Ko Duniya","Samir Shrestha","Pop",110,"Romantic,Happy"
"Timro Saath Le","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Dil Ko Chhaya","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Timilai Samjhanda","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Mero Prem Ko","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Dukha","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Saanjha Ko Lahar","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Maya Le","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Sapana","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Suseli","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Le","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Baat","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Geet","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Dhoon","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Lahar","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Maya","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Suseli","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Le","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Dhoon","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Maya Ko","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Raat Ma","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Lahar","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Suseli","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Dhoon","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Chhaya","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Sapana Ma","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Dhoon","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhanda Ko","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Pida Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Maya","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko Dhoon","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Suseli","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko Dhoon","Arun Thapa","Pop",100,"Romantic,Sad"
"Man Ko Kura Ko","Tanka Budhathoki","Pop",110,"Romantic,Happy"
"Timro Lagi Geet Ko","Melina Rai","Pop",115,"Romantic,Uplifting"
"Pahad Ko Maya","Bishnu Majhi","Folk",105,"Nostalgic,Happy"
"Chhati Ko Geet","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Timro Muskurahat Ko","Swoopna Suman","Pop",120,"Happy,Romantic"
"Maya Ko Jadoo Ko","Sushant KC","Pop",115,"Happy,Uplifting"
"Timro Saath Bina Ko","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Man Ko Geet Ko","Nepathya","Rock",135,"Energetic,Inspirational"
"Dil Ko Maya Ko","Oasis Thapa","Indie",95,"Romantic,Calm"
"Timro Hridaya Ma Ko","Samir Shrestha","Pop",110,"Happy,Romantic"
"Maya Ko Rimjhim","Anju Panta","Pop",115,"Romantic,Happy"
"Basanta Ko Hawa","Sugam Pokhrel","Pop",110,"Happy,Calm"
"K Yo Maya Ho","VTEN","Rap",100,"Energetic,Romantic"
"Timro Man Ko Kotha","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Pahilo Bhet Ko","Yabesh Thapa","Indie",85,"Romantic,Calm"
"Timro Muskan Ko Jadoo","Sushant KC","Pop",120,"Happy,Romantic"
"Gaun Ko Dhoon","Khem Century","Folk",105,"Nostalgic,Happy"
"Maya Ko Sansar","Samir Shrestha","Pop",110,"Romantic,Happy"
"Timro Saath Ko Sapana","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Dil Ko Dhoon","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Timilai Samjhandai","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Mero Prem Ko Geet","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Chhaya Ma","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Saanjha Ko Dhoon","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Maya Ko Jadoo","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Lahar","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Geet Ko","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ko Dhoon","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Sansar Ma","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Lahar","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Geet Ma","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Dhoon","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Suseli Ko","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Dhoon","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Ko Geet","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Lahar","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Maya Ko Geet","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Raat Ko","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Suseli Ko","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Maya Ko","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Lahar","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Dhoon Ko","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Lahar Ma","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Maya Ko","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhanda Ma","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Dukha Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Geet","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko Suseli","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Lahar","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko Lahar","Arun Thapa","Pop",100,"Romantic,Sad"
"Man Ko Geet Ma","Tanka Budhathoki","Pop",110,"Romantic,Happy"
"Timro Lagi Suseli","Melina Rai","Pop",115,"Romantic,Uplifting"
"Pahad Ko Dhoon","Bishnu Majhi","Folk",105,"Nostalgic,Happy"
"Chhati Ko Suseli","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Timro Muskurahat Ko Geet","Swoopna Suman","Pop",120,"Happy,Romantic"
"Maya Ko Suseli Ko","Sushant KC","Pop",115,"Happy,Uplifting"
"Timro Saath Bina Ma","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Man Ko Dhoon Ko","Nepathya","Rock",135,"Energetic,Inspirational"
"Dil Ko Geet Ko","Oasis Thapa","Indie",95,"Romantic,Calm"
"Timro Hridaya Ko Lahar","Samir Shrestha","Pop",110,"Happy,Romantic"
"Maya Ko Baato Ma","Anju Panta","Pop",115,"Romantic,Happy"
"Dashain Ko Geet","Sugam Pokhrel","Folk",110,"Happy,Celebratory"
"Hip Hop Ko Duniya","VTEN","Rap",100,"Energetic,Rebellious"
"Timro Man Ko Dhoon","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Pahilo Prem Ko Sapana","Yabesh Thapa","Indie",85,"Romantic,Calm"
"Timro Muskan Ko Geet","Sushant KC","Pop",120,"Happy,Romantic"
"Gaun Ko Suseli Ma","Khem Century","Folk",105,"Nostalgic,Happy"
